date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:01:49	274170/274170	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2013:11:34%20GMT	https://template.annimexweb.com/optimal/index-demo22.html	C:/My%20Web%20Sites/web-phonedemo1/template.annimexweb.com/optimal/index-demo22.html	(from )
19:01:49	355/355	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Mar%202022%2022:06:58%20GMT	https://template.annimexweb.com/robots.txt		(from )
19:01:50	2766/2766	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2013:19:17%20GMT	https://template.annimexweb.com/optimal/assets/images/favicon.png	C:/My%20Web%20Sites/web-phonedemo1/template.annimexweb.com/optimal/assets/images/favicon.png	(from https://template.annimexweb.com/optimal/index-demo22.html)
19:01:51	327598/327598	---M--	200	added ('OK')	text/css	date:Thu,%2002%20Mar%202023%2013:16:39%20GMT	https://template.annimexweb.com/optimal/assets/css/style.css	C:/My%20Web%20Sites/web-phonedemo1/template.annimexweb.com/optimal/assets/css/style.css	(from https://template.annimexweb.com/optimal/index-demo22.html)
19:01:52	35011/35011	---M--	200	added ('OK')	image/gif	date:Thu,%2002%20Mar%202023%2013:19:25%20GMT	https://template.annimexweb.com/optimal/assets/images/loader.gif	C:/My%20Web%20Sites/web-phonedemo1/template.annimexweb.com/optimal/assets/images/loader.gif	(from https://template.annimexweb.com/optimal/index-demo22.html)
19:01:52	90517/90517	---M--	200	added ('OK')	text/css	date:Thu,%2002%20Mar%202023%2013:16:37%20GMT	https://template.annimexweb.com/optimal/assets/css/responsive.css	C:/My%20Web%20Sites/web-phonedemo1/template.annimexweb.com/optimal/assets/css/responsive.css	(from https://template.annimexweb.com/optimal/index-demo22.html)
19:01:52	220788/220788	---M--	200	added ('OK')	text/css	date:Thu,%2002%20Mar%202023%2013:16:36%20GMT	https://template.annimexweb.com/optimal/assets/css/plugins.css	C:/My%20Web%20Sites/web-phonedemo1/template.annimexweb.com/optimal/assets/css/plugins.css	(from https://template.annimexweb.com/optimal/index-demo22.html)
19:01:53	239695/239695	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2013:11:55%20GMT	https://template.annimexweb.com/optimal/index.html	C:/My%20Web%20Sites/web-phonedemo1/template.annimexweb.com/optimal/index.html	(from https://template.annimexweb.com/optimal/index-demo22.html)
19:01:54	3083/3083	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2013:19:28%20GMT	https://template.annimexweb.com/optimal/assets/images/logo-demo17-1.png	C:/My%20Web%20Sites/web-phonedemo1/template.annimexweb.com/optimal/assets/images/logo-demo17-1.png	(from https://template.annimexweb.com/optimal/index-demo22.html)
19:01:54	91560/91560	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2013:11:58%20GMT	https://template.annimexweb.com/optimal/login.html	C:/My%20Web%20Sites/web-phonedemo1/template.annimexweb.com/optimal/login.html	(from https://template.annimexweb.com/optimal/index-demo22.html)
